Name;ID;Date;Algorithms;Architecture;Field;Evaluation;Task;Input;Results
Nguifo et al. 1997;ID001;1997;LEGAL;Decision Trees and Rule Induction;Classification (of material) and Typology;Classification;Artefact Classification;Small Scale Images;Successful
O'Sullivan and Haklay 2000;ID002;2000;;;;;;;
Amigoni and Schiaffonati 2009;ID003;2009;;;;;;;
Boon et al. 2009-1;ID004;2009;TiMBL;Unsupervised Learning and Clustering;Conservation and Cataloguing;Classification;Text Extraction;Text Data;Unsuccessful
Boon et al. 2009-2;ID004;2009;;;"Classification (of material) and Typology;Theory";Theory;Theory;Theory;
Toler et al. 2010;ID005;2010;"C4.5; RF; SVM";"Decision Trees and Rule Induction;Ensemble Learning;Linear Classifier";Conservation and Cataloguing;Classification;Architectural Reconstruction;Small Scale Images;Mixed results
Barcelo and Almeida 2012;ID006;2012;;;"Cognitive Archaeology;Theory";Theory;Theory;Theory;
Praisler et al. 2013;ID007;2013;;;;;;;
Hörr et al. 2014;ID008;2014;"NB; kNN; RF; FNN; C4.5";"Bayesian Classifier;Nearest Neighbour Classifier;Ensemble Learning;Artificial Neural Network;Decision Trees and Rule Induction";Classification (of material) and Typology;Classification;Artefact Classification;Artefact Measurements;Mixed results
Czibula et al. 2016;ID009;2016;"FNN; GA";"Artificial Neural Network;Genetic Algorithm";Bioarchaeology (Biological Anthropology);Regression;Artefact Prediction;Artefact Measurements;Successful
Albertini et al. 2017;ID010;2017;"kNN; SVM";"Nearest Neighbour Classifier;Linear Classifier";Conservation and Cataloguing;Classification;Movement Recognition;Remote Sensing Images;Successful
Andrew and Shepard 2017;ID011;2017;;;;;;;
Drap et al. 2017;ID012;2017;;;;;;;
Felicetti 2017;ID013;2017;;;"Conservation and Cataloguing;Theory";Theory;Theory;Text Data;
Lowe et al. 2017;ID014;2017;;;;;;;
Zhang et al. 2017;ID015;2017;;;;;;;
Carranza 2018;ID016;2018;FFT;Decision Trees and Rule Induction;Classification (of material) and Typology;Classification;Taphonomic Classification;Stastical counting;Successful
Gu and Buckley 2018;ID017;2018;"RF; ID3";"Ensemble Learning;Decision Trees and Rule Induction";Bioarchaeology (Biological Anthropology);Classification;Species Classification;Spectra;Successful
Guyot et al. 2018;ID018;2018;RF;Ensemble Learning;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
Jensen et al. 2018;ID019;2018;SVM;Linear Classifier;Archaeological Excavation;Classification;Archaeological Structure Classification;Remote Sensing Images;Mixed results
Klassen et al. 2018;ID020;2018;GSSL;Unsupervised Learning and Clustering;"Archaeological Dating;Historical Archaeology";Regression;Chronology;Stastical Counting;Successful
Agrafiotis et al. 2019;ID021;2019;;;;;;;
Aramendi et al. 2019;ID022;2019;"SVM; RF; CTREE; C5.0";"Linear Classifier;Ensemble Learning;Decision Trees and Rule Induction;Decision Trees and Rule Induction";Bioarchaeology (Biological Anthropology);Classification;Taphonomic Classification;3D Model;Successful
Benner et al. 2019;ID023;2019;MaEnt;Bayesian Classifier;"Landscape Archaeology;Ethnoarchaeology";Regression;Archaeological Predictive Model;Remote Sensing Images;Successful
Byeon et al. 2019;ID024;2019;"SVM; CNN";"Linear Classifier;Artificial Neural Network";"Taphonomic;Bioarchaeology (Biological Anthropology)";Classification;Taphonomic Classification;Small Scale Images;Successful
Cifuentes-Alcobendas and Dominguez-Rodrigo 2019;ID025;2019;CNN;Artificial Neural Network;"Taphonomic;Bioarchaeology (Biological Anthropology)";Classification;Taphonomic Classification;Small Scale Images;Successful
Davis 2019;ID026;2019;;;Theory;Theory;Theory;Theory;
Dominguez-Rodrigo 2018;ID027;2018;"FNN; SVM; RF; kNN; NB; C5.0";"Artificial Neural Network;Linear Classifier;Ensemble Learning;Nearest Neighbour Classifier;Bayesian Classifier;Decision Trees and Rule Induction";"Taphonomic;Experimental Archaeology;Zooarchaeology";Classification;Taphonomic Classification;Artefact Measurements;Methodological issue
Gallwey et al. 2019;ID028;2019;CNN;Artificial Neural Network;Surveying (and Site Prospection);Classification;Automatic Structure Detection;Remote Sensing Images;Successful
