ID;Name;Year;Authors;Tittle;Abstract;Country of affiliation;Journal;Open Access
ID001;Nguifo et al. 1997;1997;"Nguifo, EM; Lagrange, MS; Renaud, M; Sallantin, J";PLATA: An application of LEGAL, a machine learning based system, to a typology of archaeological ceramics;The authors here show that machine learning techniques can be used for designing an archaeological typology, at an early stage when the classes are not yet well defined. The program (LEGAL, LEarning with GAlois Lattice) is a machine learning system which uses a set of examples and counter-examples in order to discriminate between classes. Results show a good compatibility between the classes such as they are defined by the system and the archaeological hypotheses.;FRA;Computers and the Humanities;Yes
ID002;O'Sullivan and Haklay 2000;2000;"O'Sullivan, D; Haklay, M";Agent-based models and individualism: is the world agent-based?;Agent-based models (ABMs) are an increasingly popular tool in the social sciences. This trend seems likely to continue, so that they will become widely used in geography and in urban and regional planning. We present an overview of examples of these models in the life sciences, economics, planning, sociology, and archaeology. We conclude that ABMs strongly tend towards an individualist view of the social world. This point is reinforced by closer consideration of particular examples. This discussion pays attention to the inadequacy of an individualist model of society with reference to debates in social theory. We argue that because models are closed representations of an open world it is important that institutions and other social structures be explicitly included, or that their omission be explained. A tentative explanation for the bias of ABMs is offered, based on an examination of early research in artificial intelligence and distributed artificial intelligence from which disciplines the approach is derived. Some implications of these findings are discussed. We indicate some useful research directions which are beginning to tackle the individualism issue directly. We further note that the underlying assumptions of ABMs are often hidden in the implementation details. We conclude that such models must be subject to critical examination of their assumptions, and that model builders should engage with social theory if the approach is to realise its full potential.;GBR;Environnement and Planning A-Economy and Space;No
ID003;Amigoni and Schiaffonati 2009;2009;"Amigoni, F; Schiaffonati, V";THE MINERVA SYSTEM: A STEP TOWARD AUTOMATICALLY CREATED VIRTUAL MUSEUMS;The application of artificial intelligence (AI) tools to cultural heritage yields new technological solutions for the fruition of museums and art exhibitions. In this article we present the latest version of the Minerva system, able to support the organization of virtual museums by cooperating with curators to set a collection of works of art in an environment. The new version of Minerva organizes a part of the arche-ological finds belonging to the collection of the Archeological Museum of Milan. The role of Minerva is not to substitute the curators but to assist them in setting up a museum or an art exhibition. In this perspective, Minerva carries out automatically some tasks involved in museum organization and constitutes a unique system among those oriented to cultural heritage. The experimental activities have been conducted in cooperation with archeological experts who validated the results produced by Minerva.;ITA;Applied Artificial Intelligence,;Yes
ID004;Boon et al. 2009-1;2009;"Boon, Paul; van Der Maaten, Laurens; Paijmans, Hans; Postma, Eric; Lange, Guus";Digital Support for Archaeology;We describe an interdisciplinary approach in which computer scientists develop techniques to support archaeology. In the Reading Images for the Cultural Heritage ( RICH) project, a variety of methods have been developed to support archaeologists in the visualization, categorization, and characterization of archaeological objects, such as medieval glass, coins, ceramics, and seeds. The methods are based on image processing and machine learning algorithms that are tailored to the task at hand. We describe the algorithms and illustrate their application on archaeological datasets. The virtues and pitfalls of the interdisciplinary approach to archaeology are discussed.;NLD;Interdisciplinary Science Reviews;No
ID005;Toler et al. 2010;2010;"Toler-Franklin, C; Brown, B; Weyrich, T; Funkhouser, T; Rusinkiewicz, S";Multi-Feature Matching of Fresco Fragments;We present a multiple-feature approach for determining matches between small fragments of archaeological artifacts such as Bronze-Age and Roman frescoes. In contrast with traditional 2D and 3D shape matching approaches, we introduce a set of feature descriptors that are based on not only color and shape, but also normal maps. These are easy to acquire and combine high data quality with discriminability and robustness to some types of deterioration. Our feature descriptors range from general-purpose to domain-specific, and are quick to compute and match. We have tested our system on three datasets of fresco fragments, demonstrating that multi-cue matching using different subsets of features leads to different tradeoffs between efficiency and effectiveness. In particular, we show that normal-based features are more effective than color-based ones at similar computational complexity, and that 3D features are more discriminative than ones based on 2D or normals, but at higher computational cost. We also demonstrate how machine learning techniques can be used to effectively combine our new features with traditional ones. Our results show good retrieval performance, significantly improving upon the match prediction rate of state-of-the-art 3D matching algorithms, and are expected to extend to general matching problems in applications such as texture synthesis and forensics.;USA;Acm Transactions on Graphics;No
ID006;Barcelo and Almeida 2012;2012;"Barcelo, JA; de Almeida, VM";Functional analysis from visual and non-visual data. An artificial intelligence approach;"Why archaeological artefacts are the way they are? In this paper we try to solve such a question by investigating the relationship between form and function. We propose new ways of studying the way behaviour in the past can be asserted on the examination of archaeological observables in the present. In any case, we take into account that there are also non-visual features characterizing ancient objects and materials (i.e., compositional information based on mass spectrometry data, chronological information based on radioactive decay measurements, etc.). Information that should make us aware of many functional properties of objects is multidimensional in nature: size, which makes reference to height, length, depth, weight and mass; shape and form, which make reference to the geometry of contours and volumes; texture, which refers to the microtopography (roughness, waviness, and lay) and visual appearance (colour variations, brightness, reflectivity and transparency) of surfaces; and finally material, meaning the combining of distinct compositional elements and properties to form a whole. With the exception of material data, the other relevant aspects for functional reasoning have been traditionally described in rather ambiguous terms, without taking into account the advantages of quantitative measurements of shape/form, and texture. Reasoning about the functionality of archaeological objects recovered at the archaeological site requires a cross-disciplinary investigation, which may also range from recognition techniques used in computer vision and robotics to reasoning, representation, and learning methods in artificial intelligence. The approach we adopt here is to follow current computational theories of object perception to ameliorate the way archaeology can deal with the explanation of human behaviour in the past (function) from the analysis of visual and non-visual data, taking into account that visual appearances and even compositional characteristics only constrain the way an object may be used, but never fully determine it.";ESP;Mediterranean Archaeology and Archaeometry,;Yes
ID007;Praisler et al. 2013;2013;"Praisler, Mirela; Domnisoru, Danieal; Domnisoru, Leonard";Chemometric method for the automated identification of cucuteni ceramics based on ATR-FTIR spectra;A chemometric software application was developed in order to obtain an automatic identification of original Cucuteni ceramic artifacts and distinguish them from fake ceramic samples similar to those found on the black market. The software application is based on Principal Component Analysis (PCA), a method of artificial intelligence that allowed us to build multivariate models that can be used for the efficient spectral discrimination of genuine Cucuteni ceramic samples. The spectra obtained by Fourier Transform Infrared Spectroscopy with ATR-Attenuated Total Reflection (FTIR-ATR) for a set of Cucuteni ceramic samples discovered in archaeological sites from Moldova Romania were used as input database for the detection system.;ROU;European Journal of Science and Theology;Yes
ID008;Hörr et al. 2014;2014;"Hörr, Christian; Lindinger, Elisabeth; Brunnett, Guido";Machine Learning Based Typology Development in Archaeology;Formalizing and objectifying the process of artefact classification is an old wish of many archaeologists. On the other hand, data mining in general and machine learning in particular have already inspired many disciplines to introduce new paradigms of data analysis and knowledge discovery. Hence, this article aims for reviving the Typological Debate by adapting approved methods from other fields of science to archaeological data. To this end, we extensively discuss the concept of similarity and assess the suitability of machine learning techniques for the purposes of classification and typology development. Our methodology covers all steps starting from unordered, unlabelled objects to the emergence of a consistent and reusable typology. The application of this process is exemplarily illustrated by classifying the vessels from a Late Bronze Age cemetery in Eastern Saxony. Despite the individual character of these vessels, we achieved class prediction rates of more than 95%. Such a success was only possible, because we permanently reconciled the output of the learning algorithms with our own expectations in order to identify and eliminate the systematic errors within the typology.;DEU;Acm Journal on Computing and Cultural Heritage;No
ID009;Czibula et al. 2016;2016;"Czibula, G; Ionescu, VS; Miholca, DL; Mircea, IG";Machine learning-based approaches for predicting stature from archaeological skeletal remains using long bone lengths;This paper approaches, from a computational perspective, the problem of predicting the stature of human skeletal remains from bone measurements. There are traditional methods for constructing models that give good results for stature estimation. In this paper, we aim to investigate the usefulness of using machine learning-based models to approximate stature. Assuming that the stature of an individual is indirectly related to bone measurement values, we can derive methods that learn from archaeological data and construct models that give good estimates of the stature. Two novel machine learning-based regression models for stature estimation are proposed in this paper. Experiments using artificial neural networks and genetic algorithms were performed on samples from the Terry Collection Postcranial Osteometric Database, and the obtained results are discussed and compared with the results from other similar studies. The experimental evaluations indicate that the machine learning-based regression models are efficient for the stature estimation of archaeological remains and highlight the potential of our proposal. (C) 2016 Elsevier Ltd. All rights reserved.;ROU;Journal of Archaeological Science;No
ID010;Albertini et al. 2017;2017;"Albertini, Niccolo; Brogni, Andrea; Olivito, Riccardo; Taccola, Emanuele; Caramiaux, Baptiste; Gillies, Marco";Designing natural gesture interaction for archaeological data in immersive environments;Archaeological data are heterogeneous, making it difficult to correlate and combine different types. Datasheets and pictures, stratigraphic data and 3D models, time and space mixed together: these are only a few of the categories a researcher has to deal with. New technologies may be able to help in this process and trying to solve research related problems needs innovative solutions. In this paper, we describe the whole process for the design and development of a prototype application that uses an Immersive Virtual Reality system to acces archaeological excavation 3D data through the Gesture Variation Follower (GVF) algorithm. This makes it possible to recognise which gesture is being performed and how it is performed. Archaeologists have participated actively in the design of the interface and the set of gestures used for triggering the different tasks. Interactive machine learning techniques have been used for the real time detection of the gestures. As a case study the agora of Segesta (Sicily, Italy) has been selected. Indeed, due to the complex architectural features and the still ongoing fieldwork activities, Segesta represents an ideal context where to test and develop a research approach integrating both traditional and more innovative tools and methods.;ITA;Virtual Archaeology Review;Yes
