Key;Item.Type;Publication.Year;Author;Title;Publication.Title;Abstract.Note;File.Attachments
6KQRQFDA;journalArticle;2012;"Menze, Bjoern H.; Ur, Jason A.";Mapping patterns of long-term settlement in Northern Mesopotamia at a large scale;Proceedings of the National Academy of Sciences;The landscapes of the Near East show both the first settlements and the longest trajectories of settlement systems. Mounding is a characteristic property of these settlement sites, resulting from millennia of continuing settlement activity at distinguished places. So far, however, this defining feature of ancient settlements has not received much attention, or even been the subject of systematic evaluation. We propose a remote sensing approach for comprehensively mapping the pattern of human settlement at large scale and establish the largest archaeological record for a landscape in Mesopotamia, mapping about 14,000 settlement sites—spanning eight millennia—at 15-m resolution in a 23,000-km               2               area in northeastern Syria. To map both low- and high-mounded places—the latter of which are often referred to as “tells”—we develop a strategy for detecting anthrosols in time series of multispectral satellite images and measure the volume of settlement sites in a digital elevation model. Using this volume as a proxy to continued occupation, we find a dependency of the long-term attractiveness of a site on local water availability, but also a strong relation to the relevance within a basin-wide exchange network that we can infer from our record and third millennium B.C. intersite routes visible on the ground until recent times. We believe it is possible to establish a nearly comprehensive map of human settlements in the fluvial plains of northern Mesopotamia and beyond, and site volume may be a key quantity to uncover long-term trends in human settlement activity from such a record.;Menze et Ur - 2012 - Mapping patterns of long-term settlement in Northe.txt
NDXJ4F8X;journalArticle;2006;"Menze, B.H.; Ur, J.A.; Sherratt, A.G.";Detection of Ancient Settlement Mounds;Photogrammetric Engineering & Remote Sensing;In the present study we demonstrate the value of the SRTM three arcsecond terrain model for a virtual survey of archae-ological sites: the detection and mapping of ancient settle-ment mounds in the Near East. These so-called “tells” are the result of millennia of occupation within the period from 8000–1000 BC, and form visible landmarks of the world’s first farming and urban communities. The SRTM model provides for the first time an opportunity to scan areas not yet surveyed archaeologically on a supra-regional scale and to pinpoint probable tell sites. In order to map these historic monuments for the purpose of settlement-study and conser-vation, we develop a machine learning classifier which identifies probable tell sites from the terrain model. In a test, point-like elevations of a characteristic tell shape, standing out for more than 5 to 6 m in the DEM were successfully detected (85/133 tells). False positives (327/(600*1200) pixels) were primarily due to natural elevations, resembling tells in height and size.;MENZE_2006.txt
J2VVMA3G;journalArticle;2020;"Zheng, Minrui; Tang, Wenwu; Ogundiran, Akinwumi; Yang, Jianxin";Spatial Simulation Modeling of Settlement Distribution Driven by Random Forest: Consideration of Landscape Visibility;Sustainability;Settlement models help to understand the social–ecological functioning of landscape and associated land use and land cover change. One of the issues of settlement modeling is that models are typically used to explore the relationship between settlement locations and associated influential factors (e.g., slope and aspect). However, few studies in settlement modeling adopted landscape visibility analysis. Landscape visibility provides useful information for understanding human decision-making associated with the establishment of settlements. In the past years, machine learning algorithms have demonstrated their capabilities in improving the performance of the settlement modeling and particularly capturing the nonlinear relationship between settlement locations and their drivers. However, simulation models using machine learning algorithms in settlement modeling are still not well studied. Moreover, overfitting issues and optimization of model parameters are major challenges for most machine learning algorithms. Therefore, in this study, we sought to pursue two research objectives. First, we aimed to evaluate the contribution of viewsheds and landscape visibility to the simulation modeling of - settlement locations. The second objective is to examine the performance of the machine learning algorithm-based simulation models for settlement location studies. Our study region is located in the metropolitan area of Oyo Empire, Nigeria, West Africa, ca. AD 1570–1830, and its pre-Imperial antecedents, ca. AD 1360–1570. We developed an event-driven spatial simulation model enabled by random forest algorithm to represent dynamics in settlement systems in our study region. Experimental results demonstrate that viewsheds and landscape visibility may offer more insights into unveiling the underlying mechanism that drives settlement locations. Random forest algorithm, as a machine learning algorithm, provide solid support for establishing the relationship between settlement occurrences and their drivers.;Zheng et al. - 2020 - Spatial Simulation Modeling of Settlement Distribu.txt
BRHFH4FM;journalArticle;2021;"Resler, Abraham; Yeshurun, Reuven; Natalio, Filipe; Giryes, Raja";A deep-learning model for predictive archaeology and archaeological community detection;Humanities and Social Sciences Communications;Abstract             Deep learning is a powerful tool for exploring large datasets and discovering new patterns. This work presents an account of a metric learning-based deep convolutional neural network (CNN) applied to an archaeological dataset. The proposed account speaks of three stages: training, testing/validating, and community detection. Several thousand artefact images, ranging from the Lower Palaeolithic period (1.4 million years ago) to the Late Islamic period (fourteenth century AD), were used to train the model (i.e., the CNN), to discern artefacts by site and period. After training, it attained a comparable accuracy to archaeologists in various periods. In order to test the model, it was called to identify new query images according to similarities with known (training) images. Validation blinding experiments showed that while archaeologists performed as well as the model within their field of expertise, they fell behind concerning other periods. Lastly, a community detection algorithm based on the confusion matrix data was used to discern affiliations across sites. A case-study on Levantine Natufian artefacts demonstrated the algorithm’s capacity to discern meaningful connections. As such, the model has the potential to reveal yet unknown patterns in archaeological data.;Resler et al. - 2021 - A deep-learning model for predictive archaeology a.txt
VFL4XFTW;book;2022;Castiello, Maria Elena;Computational and Machine Learning Tools for Archaeological Site Modeling;;;CASTIELLO_2022.txt
ZZX9YIZM;journalArticle;2021;"Arnay, Rafael; Hernández-Aceituno, Javier; Mallol, Carolina";Soil micromorphological image classification using deep learning: The porosity parameter;Applied Soft Computing;Identifying components and microstructures in soil and sediment thin sections is one of the many subjects of analysis in archeological research, as these features can provide information regarding the deposit from which they were extracted, such as its origin and nature, clues about their associated human contexts or alteration processes they might have undergone over time. This article presents a Deep Learning system based on Convolutional Neural Networks (CNN) to classify different porosity types of structures in photomicrographs from archeological soils and sediment thin sections, as a first step to build and expand a database that will boost research in this field of archeological research. The results obtained are encouraging and show that the presented models can be successfully applied to this classification task. The trained models have been used to estimate the quantity of the different microstructures in test images, obtaining a median error of around 2%. (C) 2021 Elsevier B.V. All rights reserved.;ARNAY_2021.txt
KU5JELP5;journalArticle;2009;"Boon, Paul; van Der Maaten, Laurens; Paijmans, Hans; Postma, Eric; Lange, Guus";Digital Support for Archaeology;Interdisciplinary Science Reviews;We describe an interdisciplinary approach in which computer scientists develop techniques to support archaeology. In the Reading Images for the Cultural Heritage ( RICH) project, a variety of methods have been developed to support archaeologists in the visualization, categorization, and characterization of archaeological objects, such as medieval glass, coins, ceramics, and seeds. The methods are based on image processing and machine learning algorithms that are tailored to the task at hand. We describe the algorithms and illustrate their application on archaeological datasets. The virtues and pitfalls of the interdisciplinary approach to archaeology are discussed.;174327909x441108.txt
EIJYJ4R5;journalArticle;2014;"Hörr, Christian; Lindinger, Elisabeth; Brunnett, Guido";Machine Learning Based Typology Development in Archaeology;Acm Journal on Computing and Cultural Heritage;Formalizing and objectifying the process of artefact classification is an old wish of many archaeologists. On the other hand, data mining in general and machine learning in particular have already inspired many disciplines to introduce new paradigms of data analysis and knowledge discovery. Hence, this article aims for reviving the Typological Debate by adapting approved methods from other fields of science to archaeological data. To this end, we extensively discuss the concept of similarity and assess the suitability of machine learning techniques for the purposes of classification and typology development. Our methodology covers all steps starting from unordered, unlabelled objects to the emergence of a consistent and reusable typology. The application of this process is exemplarily illustrated by classifying the vessels from a Late Bronze Age cemetery in Eastern Saxony. Despite the individual character of these vessels, we achieved class prediction rates of more than 95%. Such a success was only possible, because we permanently reconciled the output of the learning algorithms with our own expectations in order to identify and eliminate the systematic errors within the typology.;2533988.txt
JNRZX7U8;journalArticle;2015;"Faigenbaum-Golovin, Shira; Shaus, Arie; Sober, Barak; Finkelstein, Israel; Levin, David; Moinester, Murray; Piasetzky, Eli; Turkel, Eli";Computerized paleographic investigation of Hebrew iron age ostraca;Radiocarbon;This article surveys ongoing research of the Legibility Enhancement of Ostraca (LEO) team of Tel Aviv University in the field of computerized paleography of Hebrew Iron Age ink-written ostraca. We perform paleographic tasks using tools from the fields of image processing and machine learning. Several new techniques serving this aim, as well as an adaptation of existing ones, are described herein. This includes testing a range of signal-acquisition methodologies, out of which multispectral imaging and Raman spectroscopy have matured into imaging systems. In addition, we deal with semi- or fully automated facsimile construction and refinement, facsimile, and character evaluation, as well as the reconstruction of broken character strokes. We conclude with future research directions, addressing some of the long-standing epigraphic questions, such as the number of scribes in specific corpora or detection of chronological concurrences and inconsistencies.;Faigenbaum-Golovin et al. - 2015 - COMPUTERIZED PALEOGRAPHIC INVESTIGATION OF HEBREW .txt
Y8DP5AA5;journalArticle;2015;"Oonk, Stijn; Spijker, Job";A supervised machine-learning approach towards geochemical predictive modelling in archaeology;Journal of Archaeological Science;In this work, data fusion of multi-element XRF results from archaeological feature soils and regional background soils was applied to assess the complementary value of geochemistry and machine-learning on predictive modelling in archaeology. Our principal aim was to integrate multiple data sources, train learning models for classification of archaeological soils and background soils, and compare model predictions for three validation areas with current archaeological interpretation and established predictive models. This was done using three supervised machine-learning algorithms (k-nearest neighbors, support vector machines and artificial neural networks) which were trained, cross-validated and tested. The validation areas included a high archaeological potential area (n = 247 samples), the Dutch province of Zeeland (n = 261 samples) and an excavated imprint of an ancient farmhouse (n = 38 samples). The predictive models showed good overall performance and correctly classified about 95% of all test instances. According to the learning models, the first validation site has a top soil horizon that shows limited parallels with archaeological horizons used in model training, whereas features of high archaeological probability become more apparent below this horizon. This is in good correspondence with geochemical depth profiles and current archaeological interpretation. As for the second validation site, the models highlighted several archaeological hotspots that to some extend spatially coincide with areas of high archaeological potential as indicated by established predictive modelling. Reversely, the classifiers attributed high archaeological potential status to the most southern region of Zeeland, thereby complementing established modelling results. For the third validation site none of the instances were correctly classified and these results clearly show the limitations of geochemical predictive modelling of significantly different soil types (fine-to-coarse sands) compared to the training set (clayey sands). Present proof-of-concept study shows that modelling of multiple-source geochemical soil data using machine-learning algorithms can be successfully accomplished and that model predictions nicely complement current interpretation and/or established archeological predictive modelling of areas of archaeological interest. Limitations of our approach were found to reside in lithological differences between sites used for model training and prediction sites. (C) 2015 Elsevier Ltd. All rights reserved.;Oonk et Spijker - 2015 - A supervised machine-learning approach towards geo.txt
