"","Evaluation","Task","Category"
"148","Classification","Artefact Classification","Classification (of material) and Typology"
"210","Classification","Text Extraction","Conservation and Cataloguing"
"310","Classification","Architectural Reconstruction","Conservation and Cataloguing"
"410","Classification","Artefact Classification","Classification (of material) and Typology"
"510","Regression","Artefact Prediction","Bioarchaeology (Biological Anthropology)"
"610","Classification","Movement Recognition","Conservation and Cataloguing"
"710","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"711","Classification","Automatic Structure Detection","Landscape Archaeology"
"810","Classification","Taphonomic Classification","Classification (of material) and Typology"
"910","Classification","Species Classification","Bioarchaeology (Biological Anthropology)"
"1010","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"1110","Classification","Archaeological Structure Classification","Archaeological Excavation"
"1210","Regression","Chronology","Archaeological Dating"
"1211","Regression","Chronology","Historical Archaeology"
"1310","Classification","Taphonomic Classification","Bioarchaeology (Biological Anthropology)"
"1410","Regression","Archaeological Predictive Model","Landscape Archaeology"
"1411","Regression","Archaeological Predictive Model","Ethnoarchaeology"
"152","Classification","Taphonomic Classification","Taphonomy"
"153","Classification","Taphonomic Classification","Bioarchaeology (Biological Anthropology)"
"161","Classification","Taphonomic Classification","Taphonomy"
"162","Classification","Taphonomic Classification","Bioarchaeology (Biological Anthropology)"
"171","Classification","Taphonomic Classification","Taphonomy"
"172","Classification","Taphonomic Classification","Experimental Archaeology"
"173","Classification","Taphonomic Classification","Zooarchaeology"
"181","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"191","Clustering","Image Segmentation","Conservation and Cataloguing"
"201","Classification","Architectural Element Classification","Conservation and Cataloguing"
"214","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"221","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"231","Classification","Artefact Classification","Experimental Archaeology"
"232","Classification","Artefact Classification","Classification (of material) and Typology"
"241","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"251","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"261","Regression","Dispersion Models","Landscape Archaeology"
"262","Regression","Dispersion Models","Cognitive Archaeology"
"271","Regression","Biochemical Prediction","Bioarchaeology (Biological Anthropology)"
"272","Regression","Biochemical Prediction","Experimental Archaeology"
"281","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"291","Classification","Chronology","Geoarchaeology"
"301","Regression","Archaeological Predictive Model","Landscape Archaeology"
"314","Classification","Taphonomic Classification","Taphonomy"
"315","Classification","Taphonomic Classification","Zooarchaeology"
"321","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"331","Regression","Environmental Reconstruction","Landscape Archaeology"
"332","Regression","Environmental Reconstruction","Cognitive Archaeology"
"341","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"351","Classification","Artefact Classification","Geoarchaeology"
"361","Clustering","Image Segmentation","Geoarchaeology"
"371","Regression","Archaeological Predictive Model","Landscape Archaeology"
"381","Regression","Data Quality Improvement","Conservation and Cataloguing"
"391","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"401","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"414","Classification","Artefact Classification","Classification (of material) and Typology"
"421","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"431","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"441","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"451","Classification","Text Extraction","Conservation and Cataloguing"
"461","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"462","Classification","Automatic Structure Detection","Landscape Archaeology"
"471","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"481","Regression","Biochemical Prediction","Zooarchaeology"
"491","Classification","Taphonomic Classification","Zooarchaeology"
"492","Classification","Taphonomic Classification","Taphonomy"
"493","Classification","Taphonomic Classification","Classification (of material) and Typology"
"501","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"502","Classification","Automatic Structure Detection","Landscape Archaeology"
"514","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"521","Classification","Text Extraction","Conservation and Cataloguing"
"531","Classification","Taphonomic Classification","Taphonomy"
"532","Classification","Taphonomic Classification","Bioarchaeology (Biological Anthropology)"
"541","Classification","Sourcing","Geoarchaeology"
"542","Classification","Sourcing","Classification (of material) and Typology"
"551","Classification","Architectural Element Classification","Conservation and Cataloguing"
"561","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"562","Classification","Automatic Structure Detection","Historical Archaeology"
"571","Classification","Artefact Classification","Classification (of material) and Typology"
"581","Classification","Artefact Classification","Classification (of material) and Typology"
"591","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"592","Classification","Automatic Structure Detection","Landscape Archaeology"
"601","Classification","Artefact Classification","Classification (of material) and Typology"
"602","Classification","Artefact Classification","Bioarchaeology (Biological Anthropology)"
"614","Classification","Artefact Classification","Conservation and Cataloguing"
"615","Classification","Artefact Classification","Cognitive Archaeology"
"621","Classification","Species Classification","Archaeobotany"
"631","Classification","Architectural Element Classification","Conservation and Cataloguing"
"641","Regression","Data Quality Improvement","Conservation and Cataloguing"
"651","Regression","Architectural Reconstruction","Conservation and Cataloguing"
"661","Classification","Artefact Classification","Classification (of material) and Typology"
"671","Classification","Artefact Classification","Classification (of material) and Typology"
"681","Regression","Architectural Reconstruction","Conservation and Cataloguing"
"691","Classification","Artefact Classification","Classification (of material) and Typology"
"701","Regression","Chronology","Landscape Archaeology"
"702","Regression","Chronology","Archaeological Dating"
"703","Regression","Chronology","Classification (of material) and Typology"
"714","Classification","Image Segmentation","Conservation and Cataloguing"
"715","Classification","Image Segmentation","Archaeological Excavation"
"721","Classification","Artefact Classification","Conservation and Cataloguing"
"722","Classification","Artefact Classification","Bioarchaeology (Biological Anthropology)"
"731","Classification","Archaeological Structure Classification","Archaeological Excavation"
"732","Classification","Archaeological Structure Classification","Geoarchaeology"
"741","Classification","Taphonomic Classification","Taphonomy"
"742","Classification","Taphonomic Classification","Zooarchaeology"
"751","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"761","Classification","Sourcing","Classification (of material) and Typology"
"771","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"772","Classification","Automatic Structure Detection","Landscape Archaeology"
"781","Classification","Automatic Structure Detection","Surveying (and Site Prospection)"
"782","Classification","Automatic Structure Detection","Landscape Archaeology"
"791","Classification","Artefact Classification","Classification (of material) and Typology"
