"","Evaluation","Task","Architecture"
"148","Classification","Artefact Classification","Decision Trees and Rule Induction"
"210","Classification","Automatic Structure Detection","Ensemble Learning"
"310","Classification","Text Extraction","Unsupervised Learning and Clustering"
"410","Classification","Architectural Reconstruction","Decision Trees and Rule Induction"
"411","Classification","Architectural Reconstruction","Ensemble Learning"
"412","Classification","Architectural Reconstruction","Linear Classifier"
"510","Classification","Artefact Classification","Bayesian Classifier"
"511","Classification","Artefact Classification","Nearest Neighbour Classifier"
"512","Classification","Artefact Classification","Ensemble Learning"
"513","Classification","Artefact Classification","Artificial Neural Network"
"514","Classification","Artefact Classification","Decision Trees and Rule Induction"
"610","Classification","Artefact Classification","Unsupervised Learning and Clustering"
"710","Classification","Archaeological Predictive Model","Nearest Neighbour Classifier"
"711","Classification","Archaeological Predictive Model","Polynomial Classifier"
"712","Classification","Archaeological Predictive Model","Artificial Neural Network"
"810","Classification","Artefact Classification","Decision Trees and Rule Induction"
"910","Regression","Artefact Prediction","Linear Classifier"
"911","Regression","Artefact Prediction","Polynomial Classifier"
"1010","Regression","Artefact Prediction","Artificial Neural Network"
"1011","Regression","Artefact Prediction","Genetic Algorithm"
"1110","Classification","Archaeological Structure Classification","Decision Trees and Rule Induction"
"1111","Classification","Archaeological Structure Classification","Decision Trees and Rule Induction"
"1112","Classification","Archaeological Structure Classification","Ensemble Learning"
"1113","Classification","Archaeological Structure Classification","Artificial Neural Network"
"1114","Classification","Archaeological Structure Classification","Polynomial Classifier"
"1210","Classification","Movement Recognition","Nearest Neighbour Classifier"
"1211","Classification","Movement Recognition","Linear Classifier"
"1310","Classification","Archaeological Predictive Model","Decision Trees and Rule Induction"
"1410","Classification","Species Classification","Ensemble Learning"
"1411","Classification","Species Classification","Decision Trees and Rule Induction"
"154","Classification","Automatic Structure Detection","Ensemble Learning"
"161","Classification","Archaeological Structure Classification","Linear Classifier"
"171","Regression","Chronology","Unsupervised Learning and Clustering"
"181","Classification","Taphonomic Classification","Artificial Neural Network"
"182","Classification","Taphonomic Classification","Linear Classifier"
"183","Classification","Taphonomic Classification","Ensemble Learning"
"184","Classification","Taphonomic Classification","Nearest Neighbour Classifier"
"185","Classification","Taphonomic Classification","Bayesian Classifier"
"186","Classification","Taphonomic Classification","Decision Trees and Rule Induction"
"191","Classification","Automatic Structure Detection","Artificial Neural Network"
"201","Classification","Archaeological Predictive Model","Ensemble Learning"
"216","Classification","Artefact Classification","Bayesian Classifier"
"221","Classification","Taphonomic Classification","Artificial Neural Network"
"222","Classification","Taphonomic Classification","Polynomial Classifier"
"223","Classification","Taphonomic Classification","Nearest Neighbour Classifier"
"224","Classification","Taphonomic Classification","Ensemble Learning"
"225","Classification","Taphonomic Classification","Bayesian Classifier"
"226","Classification","Taphonomic Classification","Decision Trees and Rule Induction"
"231","Regression","Environmental Reconstruction","Linear Classifier"
"232","Regression","Environmental Reconstruction","Artificial Neural Network"
"233","Regression","Environmental Reconstruction","Polynomial Classifier"
"234","Regression","Environmental Reconstruction","Ensemble Learning"
"235","Regression","Environmental Reconstruction","Ensemble Learning"
"236","Regression","Environmental Reconstruction","Ensemble Learning"
"241","Classification","Data Quality Improvement","Artificial Neural Network"
"251","Classification","Taphonomic Classification","Linear Classifier"
"252","Classification","Taphonomic Classification","Ensemble Learning"
"253","Classification","Taphonomic Classification","Decision Trees and Rule Induction"
"254","Classification","Taphonomic Classification","Decision Trees and Rule Induction"
"261","Regression","Archaeological Predictive Model","Bayesian Classifier"
"271","Classification","Taphonomic Classification","Linear Classifier"
"272","Classification","Taphonomic Classification","Artificial Neural Network"
"281","Classification","Taphonomic Classification","Artificial Neural Network"
"291","Classification","Automatic Structure Detection","Artificial Neural Network"
"301","Classification","Architectural Element Classification","Ensemble Learning"
"302","Classification","Architectural Element Classification","Ensemble Learning"
"303","Classification","Architectural Element Classification","Decision Trees and Rule Induction"
"304","Classification","Architectural Element Classification","Decision Trees and Rule Induction"
"305","Classification","Architectural Element Classification","Decision Trees and Rule Induction"
"306","Classification","Architectural Element Classification","Ensemble Learning"
"316","Clustering","Image Segmentation","Nearest Neighbour Classifier"
"321","Classification","Automatic Structure Detection","Artificial Neural Network"
"331","Classification","Automatic Structure Detection","Linear Classifier"
"332","Classification","Automatic Structure Detection","Decision Trees and Rule Induction"
"333","Classification","Automatic Structure Detection","Ensemble Learning"
"341","Classification","Artefact Classification","Ensemble Learning"
"351","Classification","Automatic Structure Detection","Ensemble Learning"
"361","Regression","Dispersion Models","Ensemble Learning"
"362","Regression","Dispersion Models","Nearest Neighbour Classifier"
"363","Regression","Dispersion Models","Ensemble Learning"
"372","Regression","Biochemical Prediction","Nearest Neighbour Classifier"
"381","Classification","Automatic Structure Detection","Artificial Neural Network"
"382","Classification","Automatic Structure Detection","Linear Classifier"
"383","Classification","Automatic Structure Detection","Polynomial Classifier"
"391","Classification","Automatic Structure Detection","Nearest Neighbour Classifier"
"401","Classification","Taphonomic Classification","Artificial Neural Network"
"402","Classification","Taphonomic Classification","Linear Classifier"
"403","Classification","Taphonomic Classification","Nearest Neighbour Classifier"
"404","Classification","Taphonomic Classification","Ensemble Learning"
"405","Classification","Taphonomic Classification","Bayesian Classifier"
"416","Classification","Taphonomic Classification","Artificial Neural Network"
"417","Classification","Taphonomic Classification","Linear Classifier"
"418","Classification","Taphonomic Classification","Nearest Neighbour Classifier"
"419","Classification","Taphonomic Classification","Ensemble Learning"
"4110","Classification","Taphonomic Classification","Bayesian Classifier"
"421","Classification","Taphonomic Classification","Artificial Neural Network"
"422","Classification","Taphonomic Classification","Linear Classifier"
"423","Classification","Taphonomic Classification","Nearest Neighbour Classifier"
"424","Classification","Taphonomic Classification","Bayesian Classifier"
"425","Classification","Taphonomic Classification","Ensemble Learning"
"426","Classification","Taphonomic Classification","Decision Trees and Rule Induction"
"431","Classification","Data Quality Improvement","Artificial Neural Network"
"441","Classification","Artefact Classification","Linear Classifier"
"442","Classification","Artefact Classification","Linear Classifier"
"443","Classification","Artefact Classification","Nearest Neighbour Classifier"
"451","Classification","Data Quality Improvement","Artificial Neural Network"
"461","Clustering","Data Quality Improvement","Unsupervised Learning and Clustering"
"471","Classification","Automatic Structure Detection","Artificial Neural Network"
"481","Classification","Archaeological Structure Classification","Artificial Neural Network"
"491","Classification","Text Extraction","Artificial Neural Network"
"501","Classification","Automatic Structure Detection","Artificial Neural Network"
"502","Classification","Automatic Structure Detection","Artificial Neural Network"
"516","Classification","Chronology","Artificial Neural Network"
"521","Regression","Archaeological Predictive Model","Ensemble Learning"
"531","Classification","Taphonomic Classification","Ensemble Learning"
"532","Classification","Taphonomic Classification","Nearest Neighbour Classifier"
"533","Classification","Taphonomic Classification","Decision Trees and Rule Induction"
"534","Classification","Taphonomic Classification","Bayesian Classifier"
"535","Classification","Taphonomic Classification","Linear Classifier"
"536","Classification","Taphonomic Classification","Artificial Neural Network"
"541","Classification","Automatic Structure Detection","Unsupervised Learning and Clustering"
"542","Classification","Automatic Structure Detection","Bayesian Classifier"
"543","Classification","Automatic Structure Detection","Nearest Neighbour Classifier"
"544","Classification","Automatic Structure Detection","Linear Classifier"
"545","Classification","Automatic Structure Detection","Ensemble Learning"
"546","Classification","Automatic Structure Detection","Artificial Neural Network"
"551","Regression","Environmental Reconstruction","Ensemble Learning"
"561","Classification","Automatic Structure Detection","Artificial Neural Network"
"571","Classification","Artefact Classification","Ensemble Learning"
"572","Classification","Artefact Classification","Polynomial Classifier"
"573","Classification","Artefact Classification","Artificial Neural Network"
"581","Clustering","Image Segmentation","Artificial Neural Network"
"582","Clustering","Image Segmentation","Unsupervised Learning and Clustering"
"591","Regression","Archaeological Predictive Model","Ensemble Learning"
"592","Regression","Archaeological Predictive Model","Bayesian Classifier"
"601","Classification","Archaeological Structure Classification","Ensemble Learning"
"602","Classification","Archaeological Structure Classification","Linear Classifier"
"616","Classification","Artefact Classification","Artificial Neural Network"
"621","Classification","Sourcing","Ensemble Learning"
"622","Classification","Sourcing","Ensemble Learning"
"623","Classification","Sourcing","Nearest Neighbour Classifier"
"624","Classification","Sourcing","Linear Classifier"
"631","Clustering","Sourcing","Unsupervised Learning and Clustering"
"641","Regression","Data Quality Improvement","Unsupervised Learning and Clustering"
"651","Classification","Automatic Structure Detection","Artificial Neural Network"
"652","Classification","Automatic Structure Detection","Ensemble Learning"
"661","Regression","Environmental Reconstruction","Ensemble Learning"
"671","Classification","Artefact Classification","Linear Classifier"
"672","Classification","Artefact Classification","Nearest Neighbour Classifier"
"673","Classification","Artefact Classification","Ensemble Learning"
"674","Classification","Artefact Classification","Bayesian Classifier"
"675","Classification","Artefact Classification","Decision Trees and Rule Induction"
"681","Classification","Automatic Structure Detection","Ensemble Learning"
"691","Clustering","Architectural Element Classification","Unsupervised Learning and Clustering"
"701","Classification","Automatic Structure Detection","Linear Classifier"
"716","Regression","Data Quality Improvement","Artificial Neural Network"
"721","Classification","Automatic Structure Detection","Artificial Neural Network"
"731","Classification","Automatic Structure Detection","Ensemble Learning"
"741","Classification","Artefact Classification","Artificial Neural Network"
"751","Classification","Automatic Structure Detection","Artificial Neural Network"
"761","Classification","Automatic Structure Detection","Artificial Neural Network"
"771","Classification","Automatic Structure Detection","Ensemble Learning"
"781","Classification","Text Extraction","Artificial Neural Network"
"791","Classification","Automatic Structure Detection","Artificial Neural Network"
"801","Classification","Automatic Structure Detection","Artificial Neural Network"
"816","Regression","Biochemical Prediction","Ensemble Learning"
"821","Classification","Taphonomic Classification","Linear Classifier"
"822","Classification","Taphonomic Classification","Artificial Neural Network"
"831","Classification","Automatic Structure Detection","Artificial Neural Network"
"841","Classification","Automatic Structure Detection","Artificial Neural Network"
"842","Classification","Automatic Structure Detection","Ensemble Learning"
"851","Classification","Text Extraction","Artificial Neural Network"
"861","Classification","Taphonomic Classification","Artificial Neural Network"
"862","Classification","Taphonomic Classification","Artificial Neural Network"
"863","Classification","Taphonomic Classification","Artificial Neural Network"
"864","Classification","Taphonomic Classification","Artificial Neural Network"
"865","Classification","Taphonomic Classification","Artificial Neural Network"
"871","Classification","Sourcing","Ensemble Learning"
"872","Classification","Sourcing","Linear Classifier"
"873","Classification","Sourcing","Nearest Neighbour Classifier"
"881","Classification","Architectural Element Classification","Artificial Neural Network"
"891","Classification","Automatic Structure Detection","Artificial Neural Network"
"901","Classification","Artefact Classification","Artificial Neural Network"
"916","Classification","Artefact Classification","Artificial Neural Network"
"921","Classification","Automatic Structure Detection","Ensemble Learning"
"922","Classification","Automatic Structure Detection","Artificial Neural Network"
"931","Classification","Artefact Classification","Ensemble Learning"
"932","Classification","Artefact Classification","Artificial Neural Network"
"941","Classification","Artefact Classification","Artificial Neural Network"
"942","Classification","Artefact Classification","Artificial Neural Network"
"943","Classification","Artefact Classification","Artificial Neural Network"
"951","Classification","Species Classification","Linear Classifier"
"952","Classification","Species Classification","Nearest Neighbour Classifier"
"961","Classification","Architectural Element Classification","Ensemble Learning"
"971","Regression","Data Quality Improvement","Artificial Neural Network"
"981","Regression","Architectural Reconstruction","Ensemble Learning"
