Key;Item.Type;Publication.Year;Author;Title;Publication.Title;Abstract.Note;File.Attachments
NDXJ4F8X;journalArticle;2006;"Menze, B.H.; Ur, J.A.; Sherratt, A.G.";Detection of Ancient Settlement Mounds;Photogrammetric Engineering & Remote Sensing;In the present study we demonstrate the value of the SRTM three arcsecond terrain model for a virtual survey of archae-ological sites: the detection and mapping of ancient settle-ment mounds in the Near East. These so-called “tells” are the result of millennia of occupation within the period from 8000–1000 BC, and form visible landmarks of the world’s first farming and urban communities. The SRTM model provides for the first time an opportunity to scan areas not yet surveyed archaeologically on a supra-regional scale and to pinpoint probable tell sites. In order to map these historic monuments for the purpose of settlement-study and conser-vation, we develop a machine learning classifier which identifies probable tell sites from the terrain model. In a test, point-like elevations of a characteristic tell shape, standing out for more than 5 to 6 m in the DEM were successfully detected (85/133 tells). False positives (327/(600*1200) pixels) were primarily due to natural elevations, resembling tells in height and size.;MENZE_2006.txt
KU5JELP5;journalArticle;2009;"Boon, Paul; van Der Maaten, Laurens; Paijmans, Hans; Postma, Eric; Lange, Guus";Digital Support for Archaeology;Interdisciplinary Science Reviews;We describe an interdisciplinary approach in which computer scientists develop techniques to support archaeology. In the Reading Images for the Cultural Heritage ( RICH) project, a variety of methods have been developed to support archaeologists in the visualization, categorization, and characterization of archaeological objects, such as medieval glass, coins, ceramics, and seeds. The methods are based on image processing and machine learning algorithms that are tailored to the task at hand. We describe the algorithms and illustrate their application on archaeological datasets. The virtues and pitfalls of the interdisciplinary approach to archaeology are discussed.;174327909x441108.txt
EIJYJ4R5;journalArticle;2014;"Hörr, Christian; Lindinger, Elisabeth; Brunnett, Guido";Machine Learning Based Typology Development in Archaeology;Acm Journal on Computing and Cultural Heritage;Formalizing and objectifying the process of artefact classification is an old wish of many archaeologists. On the other hand, data mining in general and machine learning in particular have already inspired many disciplines to introduce new paradigms of data analysis and knowledge discovery. Hence, this article aims for reviving the Typological Debate by adapting approved methods from other fields of science to archaeological data. To this end, we extensively discuss the concept of similarity and assess the suitability of machine learning techniques for the purposes of classification and typology development. Our methodology covers all steps starting from unordered, unlabelled objects to the emergence of a consistent and reusable typology. The application of this process is exemplarily illustrated by classifying the vessels from a Late Bronze Age cemetery in Eastern Saxony. Despite the individual character of these vessels, we achieved class prediction rates of more than 95%. Such a success was only possible, because we permanently reconciled the output of the learning algorithms with our own expectations in order to identify and eliminate the systematic errors within the typology.;2533988.txt
5JJ8JSAE;journalArticle;2017;"Albertini, Niccolo; Brogni, Andrea; Olivito, Riccardo; Taccola, Emanuele; Caramiaux, Baptiste; Gillies, Marco";Designing natural gesture interaction for archaeological data in immersive environments;Virtual Archaeology Review;Archaeological data are heterogeneous, making it difficult to correlate and combine different types. Datasheets and pictures, stratigraphic data and 3D models, time and space mixed together: these are only a few of the categories a researcher has to deal with. New technologies may be able to help in this process and trying to solve research related problems needs innovative solutions. In this paper, we describe the whole process for the design and development of a prototype application that uses an Immersive Virtual Reality system to acces archaeological excavation 3D data through the Gesture Variation Follower (GVF) algorithm. This makes it possible to recognise which gesture is being performed and how it is performed. Archaeologists have participated actively in the design of the interface and the set of gestures used for triggering the different tasks. Interactive machine learning techniques have been used for the real time detection of the gestures. As a case study the agora of Segesta (Sicily, Italy) has been selected. Indeed, due to the complex architectural features and the still ongoing fieldwork activities, Segesta represents an ideal context where to test and develop a research approach integrating both traditional and more innovative tools and methods.;Albertini et al. - 2017 - DESIGNING NATURAL GESTURE INTERACTION FOR ARCHAEOL.txt
DAGPRZJN;journalArticle;2018;Jensen, Peter;Semantically Enhanced 3D: A Web-based Platform for Spatial Integration of Excavation Documentation at Alken Enge, Denmark;Journal of Field Archaeology;The photorealistic and geometrically accurate 3-dimensional representation of excavations, provided by image-based modeling, has the potential to transform the process of excavation documentation, making it easier to share observations with other researchers. Paradoxically, however, spatial representation lacks the ability to convey archaeological interpretations. By example of excavations in Alken Enge, Denmark, this paper explores how a web-based 3D platform is able to facilitate the collaborative exchange of 3D excavation content and how the integration of spatial and attribute data into one common event-based data model may be advantageous. This includes enhancing the semantic value of field-recorded 3D models by segmenting the geometry using various techniques, such as 3D projections and machine learning. Accordingly, the paper demonstrates a framework for interactive 3D models, which includes attributed classification based on segmented 3D content correlated with traditional raster, vector, and textual data, delivering a spatially integrated platform for collaborative research.;Jensen - 2018 - Semantically Enhanced 3D A Web-based Platform for.txt
NMD2WZGT;journalArticle;2018;"Guyot, Alexandre; Hubert-Moy, Laurence; Lorho, Thierry";Detecting Neolithic Burial Mounds from LiDAR-Derived Elevation Data Using a Multi-Scale Approach and Machine Learning Techniques;Remote Sensing;Airborne LiDAR technology is widely used in archaeology and over the past decade has emerged as an accurate tool to describe anthropomorphic landforms. Archaeological features are traditionally emphasised on a LiDAR-derived Digital Terrain Model (DTM) using multiple Visualisation Techniques (VTs), and occasionally aided by automated feature detection or classification techniques. Such an approach offers limited results when applied to heterogeneous structures (different sizes, morphologies), which is often the case for archaeological remains that have been altered throughout the ages. This study proposes to overcome these limitations by developing a multi-scale analysis of topographic position combined with supervised machine learning algorithms (Random Forest). Rather than highlighting individual topographic anomalies, the multi-scalar approach allows archaeological features to be examined not only as individual objects, but within their broader spatial context. This innovative and straightforward method provides two levels of results: a composite image of topographic surface structure and a probability map of the presence of archaeological structures. The method was developed to detect and characterise megalithic funeral structures in the region of Carnac, the Bay of Quiberon, and the Gulf of Morbihan (France), which is currently considered for inclusion on the UNESCO World Heritage List. As a result, known archaeological sites have successfully been geo-referenced with a greater accuracy than before (even when located under dense vegetation) and a ground-check confirmed the identification of a previously unknown Neolithic burial mound in the commune of Carnac.;Guyot et al. - 2018 - Detecting Neolithic Burial Mounds from LiDAR-Deriv.txt
JEYVP59G;journalArticle;2018;"Klassen, Sarah; Weed, Jonathan; Evans, Damian";Semi-supervised machine learning approaches for predicting the chronology of archaeological sites: A case study of temples from medieval Angkor, Cambodia;Plos One;"Archaeologists often need to date and group artifact types to discern typologies, chronologies, and classifications. For over a century, statisticians have been using classification and clustering techniques to infer patterns in data that can be defined by algorithms. In the case of archaeology, linear regression algorithms are often used to chronologically date features and sites, and pattern recognition is used to develop typologies and classifications. However, archaeological data is often expensive to collect, and analyses are often limited by poor sample sizes and datasets. Here we show that recent advances in computation allow archaeologists to use machine learning based on much of the same statistical theory to address more complex problems using increased computing power and larger and incomplete datasets. This paper approaches the problem of predicting the chronology of archaeological sites through a case study of medieval temples in Angkor, Cambodia. For this study, we have a large dataset of temples with known architectural elements and artifacts; however, less than ten percent of the sample of temples have known dates, and much of the attribute data is incomplete. Our results suggest that the algorithms can predict dates for temples from 821-1150 CE with a 49-66-year average absolute error. We find that this method surpasses traditional supervised and unsupervised statistical approaches for under-specified portions of the dataset and is a promising new method for anthropological inquiry.";Klassen et al. - 2018 - Semi-supervised machine learning approaches for pr.txt
GKVITELT;journalArticle;2019;"Stott, David; Kristiansen, Soren Munch; Sindbaek, Soren Michael";Searching for Viking Age Fortresses with Automatic Landscape Classification and Feature Detection;Remote Sensing;Across the world, cultural heritage is eradicated at an unprecedented rate by development, agriculture, and natural erosion. Remote sensing using airborne and satellite sensors is an essential tool for rapidly investigating human traces over large surfaces of our planet, but even large monumental structures may be visible as only faint indications on the surface. In this paper, we demonstrate the utility of a machine learning approach using airborne laser scanning data to address a needle-in-a-haystack problem, which involves the search for remnants of Viking ring fortresses throughout Denmark. First ring detection was applied using the Hough circle transformations and template matching, which detected 202,048 circular features in Denmark. This was reduced to 199 candidate sites by using their geometric properties and the application of machine learning techniques to classify the cultural and topographic context of the features. Two of these near perfectly circular features are convincing candidates for Viking Age fortresses, and two are candidates for either glacial landscape features or simple meteor craters. Ground-truthing revealed the latter sites as ice age features, while the cultural heritage sites BorgO and Tr ae lbanke urge renewed archaeological investigation in the light of our findings. The fact that machine learning identifies compelling new candidate sites for ring fortresses demonstrates the power of the approach. Our automatic approach is applicable worldwide where digital terrain models are available to search for cultural heritage sites, geomorphological features, and meteor impact craters.;Stott et al. - 2019 - Searching for Viking Age Fortresses with Automatic.txt
ZYLSA4NP;journalArticle;2019;"Pargeter, Justin; Khreisheh, Nada; Stout, Dietrich";Understanding stone tool-making skill acquisition: Experimental methods and evolutionary implications;Journal of Human Evolution;Despite its theoretical importance, the process of stone tool-making skill acquisition remains understudied and poorly understood. The challenges and costs of skill learning constitute an oft-neglected factor in the evaluation of alternative adaptive strategies and a potential source of bias in cultural transmission. Similarly, theory and data indicate that the most salient neural and cognitive demands of stone tool-making should occur during learning rather than expert performance. Unfortunately, the behavioral complexity and extensive learning requirements that make stone knapping skill acquisition an interesting object of study are the very features that make it so challenging to investigate experimentally. Here we present results from a multidisciplinary study of Late Acheulean handaxe-making skill acquisition involving twenty-six naive participants and up to 90 hours training over several months, accompanied by a battery of psychometric, behavioral, and neuroimaging assessments. In this initial report, we derive a robust quantitative skill metric for the experimental handaxes using machine learning algorithms, reconstruct a group-level learning curve, and explore sources of individual variation in learning outcomes. Results identify particular cognitive targets of selection on the efficiency or reliability of tool-making skill acquisition, quantify learning costs, highlight the likely importance of social support, motivation, persistence, and self-control in knapping skill acquisition, and illustrate methods for reliably reconstructing ancient learning processes from archaeological evidence. (C) 2019 Elsevier Ltd. All rights reserved.;Pargeter_2019.txt
GM5WBJ3T;journalArticle;2019;"Benner, Jordan; Knudby, Anders; Nielsen, Julie; Krawchuk, Meg; Lertzman, Ken";Combining data from field surveys and archaeological records to predict the distribution of culturally important trees;Diversity and Distributions;Aim Indigenous communities involved in conservation planning require spatial datasets depicting the distribution of culturally important species. However, accessing datasets on the location of these species can be challenging, particularly when the current distribution no longer reflects areas with the full range of suitable growing conditions because of past logging. We test whether using occurrence data from community-based field surveys and archaeological records in species distribution models can help predict the distribution of monumental western redcedar trees (Thuja plicata)-large, high-quality trees suitable for cultural purposes such as carving dug-out canoes, totem poles and traditional houses. This species is critically important to indigenous people of the Pacific Northwest of North America, but trees suitable for traditional carving and building are diminishing in abundance due to logging. Location Our analysis covers the spatial extent of the traditional territory of the Heiltsuk First Nation, which encompasses a portion of the Great Bear Rainforest in British Columbia, Canada. Methods We built and compared species distribution models using the machine learning program, Maxent, based on occurrence data from field surveys and archaeological records of culturally modified trees. Results Our findings highlight similarities and differences between the predictions from these species distribution models. When validating these models against occurrences from an independent dataset, the archaeological record model performs better than the field survey model. These findings may arise because the independent dataset was collected on an unlogged island-an environment that aligns more closely with the historic forest conditions revealed by the archaeological records than the current distribution revealed by the field surveys. Main conclusions We demonstrate and discuss the utility of using archaeological data in species distribution modelling and conservation planning when the target species is associated with shifting environmental baselines, data limitations and an important cultural resource.;ddi.12947.txt
